feature_set,n_features,horizon,rmse_lstm,r2_lstm,rmse_xlstm,r2_xlstm,er_rmse
price_only,1,1,2.436636447906494,0.9954910278320312,2.540496587753296,0.9950984716415405,-0.10386013984680176
price_only,1,3,3.4775333404541016,0.9907218813896179,3.408027172088623,0.9910890460014343,0.06950616836547852
price_only,1,5,4.009603023529053,0.9875778555870056,4.117473125457764,0.9869004487991333,-0.10787010192871094
price_only,1,10,5.482697486877441,0.9764723777770996,5.548256874084473,0.9759063720703125,-0.06555938720703125
price_only,1,15,6.9043755531311035,0.962262749671936,7.020081520080566,0.9609873294830322,-0.11570596694946289
price_plus_sentiment,5,1,2.48715877532959,0.9953020811080933,3.38696551322937,0.9912880063056946,-0.8998067378997803
price_plus_sentiment,5,3,3.519765615463257,0.9904951453208923,3.837869167327881,0.9886994957923889,-0.318103551864624
price_plus_sentiment,5,5,4.144904136657715,0.9867253303527832,4.306384563446045,0.9856708645820618,-0.16148042678833008
price_plus_sentiment,5,10,5.75630521774292,0.9740655422210693,5.961978435516357,0.9721791744232178,-0.2056732177734375
price_plus_sentiment,5,15,7.523958683013916,0.9551859498023987,7.3550615310668945,0.9571753740310669,0.16889715194702148
